design,time_s,tray,liquid_W,electrical_W,connection,bore_mm,flow_LPM,solid_C
active,166.0,C12,1740.0,1740.0,1.0,2.942595250483142,4.12057473523502,59.00260633872191
active,166.0,C13,1740.0,1740.0,1.0,2.9430183913324326,4.121199169840031,59.00294439236585
active,166.0,C14,1740.0,1740.0,1.0,2.9433322277029794,4.121654967786792,59.003196659088516
active,166.0,C15,1740.0,1740.0,1.0,2.943555037407225,4.121970489464025,59.00337738403804
active,166.0,C16,1740.0,1740.0,1.0,2.9437052878773793,4.122174278785783,59.003501039829736
active,166.0,C17,1740.0,1740.0,1.0,2.9438017474128917,4.122297107716987,59.003582273113615
active,166.0,C18,1740.0,1740.0,1.0,2.9438627571752516,4.122364350075111,59.00363541981213
active,168.0,C01,0.0,0.0,0.0,3.2176542233768597,0.0,51.01384085340055
active,168.0,C02,1740.0,1740.0,1.0,2.8097692184068213,3.842019576116755,58.85467625957467
active,168.0,C03,1740.0,1740.0,1.0,2.8126210020069236,3.846622687153864,58.85671867205299
active,168.0,C04,1740.0,1740.0,1.0,2.8151829510831825,3.8507434933911435,58.858560981459576
active,168.0,C05,1740.0,1740.0,1.0,2.817469544444952,3.8544077860120303,58.86021122921449
active,168.0,C06,1740.0,1740.0,1.0,2.8194955629889935,3.857641596292557,58.861678090506736
active,168.0,C07,1740.0,1740.0,1.0,2.8212760659541813,3.860471178628834,58.862970815341555
active,168.0,C08,1740.0,1740.0,1.0,2.822826368967004,3.862922996769926,58.8640991721792
active,168.0,C09,1740.0,1740.0,1.0,2.824162024120162,3.865023713341521,58.86507339460787
active,168.0,S01,1240.0,1240.0,1.0,1.5416175453633583,1.2347310692678093,68.8924817840966
active,168.0,S02,0.0,0.0,0.0,1.6500000544713798,0.0,65.50306846352333
active,168.0,S03,1240.0,1240.0,1.0,1.5422936260777313,1.235327388576947,68.88968874252157
active,168.0,S04,1240.0,1240.0,1.0,1.5426171222251015,1.2356138504514849,68.88836499969672
active,168.0,S05,1240.0,1240.0,1.0,1.5364414563095978,1.2260524157805777,68.90824319835605
active,168.0,S06,1240.0,1240.0,1.0,1.5367403646175999,1.2263219650434383,68.90699616576299
active,168.0,S07,1240.0,1240.0,1.0,1.5370280584429385,1.2265840537989507,68.90578780054399
active,168.0,S08,1240.0,1240.0,1.0,1.537304737480922,1.2268387243957473,68.90461782777817
active,168.0,S09,1240.0,1240.0,1.0,1.5375706038709631,1.2270860208493564,68.90348596289523
active,168.0,C10,1740.0,1740.0,1.0,2.833906229727021,3.8803800733693907,58.87230295423976
active,168.0,C11,1740.0,1740.0,1.0,2.8345591544817523,3.881421495866483,58.87279716594201
active,168.0,C12,1740.0,1740.0,1.0,2.8350759105559806,3.882239233395181,58.873189985963265
active,168.0,C13,1740.0,1740.0,1.0,2.8354732368339786,3.8828609910592613,58.873493682794056
active,168.0,C14,1740.0,1740.0,1.0,2.8357680662061533,3.883314729251473,58.87372075437101
active,168.0,C15,1740.0,1740.0,1.0,2.8359775348054805,3.883628682104692,58.8738839077181
active,168.0,C16,1740.0,1740.0,1.0,2.8361189588223046,3.8838312903032746,58.87399606547427
active,168.0,C17,1740.0,1740.0,1.0,2.8362099033135384,3.8839531883886504,58.87407022827827
active,168.0,C18,1740.0,1740.0,1.0,2.836267622551616,3.8840195243468174,58.87411931524089
active,170.0,C01,0.0,0.0,0.0,3.2176542233768597,0.0,51.01384084617802
active,170.0,C02,1740.0,1740.0,1.0,2.7120518316012228,3.6188532967172473,58.741032667233746
active,170.0,C03,1740.0,1740.0,1.0,2.714718504143259,3.6233247031435765,58.74281941887115
active,170.0,C04,1740.0,1740.0,1.0,2.717114496589252,3.627329089181849,58.744432740075226
active,170.0,C05,1740.0,1740.0,1.0,2.719253283910919,3.63089100472935,58.745879253304835
active,170.0,C06,1740.0,1740.0,1.0,2.7211486313661597,3.6340353222081037,58.74716620123418
active,170.0,C07,1740.0,1740.0,1.0,2.722814571522373,3.6367872114117676,58.748301388560435
